run_id,count,improve_n,worse_n,0504_plus_candidate_oracle_mean,base_mean_on_improved,cand_mean_on_improved
20260427T151105_363294/20260427-1,1,1,0,0.0869082373642401,1.0144362075692548,-0.3142183817753338
20260508T200355_588891/20260508-resume18-pilot20-critical-tail-rect001-finalcp005-2nc,20,6,9,0.08693440717451817,0.31362215195647597,0.09322651281016699
20260508T205938_831355/20260508-resume18-pilot20-finalcp005-bneckband-r1-0005-finalcp005-2nc,16,6,6,0.08697187605368852,0.2894888386398364,0.07059195466034054
20260508T194717_059171/20260508-resume18-pilot20-finalcp005-only-2nc,20,6,9,0.087059973663089,0.31362215195647597,0.09824917235299979
20260508T200355_588891/20260508-resume18-pilot20-critical-handoff-rect001-finalcp005-2nc,20,6,8,0.08715988148544511,0.31362215195647597,0.10224548524724512
20260508T193757_184011/20260508-resume18-pilot8-critical-handoff-rect002-finalcp005-2nc,8,4,4,0.08716239761075405,0.5077130435266508,0.19079901098133945
20260508T193757_184011/20260508-resume18-pilot8-critical-tail-rect002-finalcp005-2nc,8,4,4,0.08727063163876005,0.5077130435266508,0.1972930526616993
20260508T205938_831355/20260508-resume18-pilot20-bneckband-r1-0005-finalcp005-2nc,20,7,9,0.08734284983956636,0.27106994686273983,0.09616314753898456
20260515T002622_377811/20260515-2,4,3,1,0.08755443384260242,-1.3831449683369685,-1.774334113182847
20260508T160849_043073/20260508-resume18-pilot8-finalcp005-only-2nc,8,4,4,0.08771100497535285,0.5077130435266508,0.22371545285726793
20260510T004535_847007/20260510-resume19-large-finalcp-only-2nc,6,2,4,0.08776891163795628,0.04359497745835769,-0.517451404367995
20260510T004535_847007/20260510-resume19-large-headtail-middle050-stage-2nc,6,2,4,0.08783699954080039,0.04359497745835769,-0.509280856026702
20260508T160849_043073/20260508-resume18-pilot8-critical-stage-r1-lns002-finalcp005-2nc,8,4,4,0.08788530598242662,0.5077130435266508,0.23417351328169475
20260510T004535_847007/20260510-resume19-large-headtail-middle030-stage-2nc,6,2,4,0.08794984018179217,0.04359497745835769,-0.4957399791076905
20260510T004535_847007/20260510-resume19-large-headtail-middle040-stage-2nc,6,2,4,0.08803924314062153,0.04359497745835769,-0.48501162404816484
20260510T004535_847007/20260510-resume19-large-headtail-middle020-stage-2nc,6,2,4,0.08806265034590587,0.04359497745835769,-0.48220275941404533
20260508T160849_043073/20260508-resume18-pilot8-critical-stage-r1-lns002-only-2nc,8,4,4,0.08815941796841868,0.5077130435266508,0.2506202324412183
20260513T074354_685474/20260514-1,27,4,10,0.0882999089639622,0.29257937744786927,0.04391602609504763
20260504T112908_476823/20260504-01,4,2,2,0.08851280014941686,1.7389176961415564,1.2671379356904726
