Problem,SolverVendor,Formulation,Instance,n,c,LB,UB,Gap,ActualTime
Hybridflowshop,CPLEX,CP,130,120,10,3131,3131,0,91.385
Hybridflowshop,CPLEX,CP,131,120,15,3092,3438,0.1119,3600.212
Hybridflowshop,CPLEX,CP,132,120,20,2756,3249,0.17888,4800.116
Hybridflowshop,CPLEX,CP,133,160,5,4011,4011,0,47.887
Hybridflowshop,CPLEX,CP,134,160,10,4319,4323,0.00093,3200.064
Hybridflowshop,CPLEX,CP,135,160,15,3254,3565,0.09557,4800.092
Hybridflowshop,CPLEX,CP,136,160,20,3457,3919,0.13364,6400.151
Hybridflowshop,CPLEX,CP,137,200,5,5048,5049,0.0002,2000.062
Hybridflowshop,CPLEX,CP,138,200,10,5169,5169,0,13.027
Hybridflowshop,CPLEX,CP,139,200,15,5581,5619,0.00681,6000.163
Hybridflowshop,CPLEX,CP,140,200,20,4081,4601,0.12742,8000.207
Hybridflowshop,CPLEX,CP,141,240,5,5845,5845,0,2.985
Hybridflowshop,CPLEX,CP,142,240,10,5887,5900,0.00221,4800.094
Hybridflowshop,CPLEX,CP,143,240,15,6091,6091,0,343.114
Hybridflowshop,CPLEX,CP,144,240,20,5769,6614,0.14647,9600.214
Hybridflowshop,CPLEX,CP,145,40,5,769,779,0.013,400.042
Hybridflowshop,CPLEX,CP,146,40,10,1020,1158,0.13529,800.037
Hybridflowshop,CPLEX,CP,147,40,15,1205,1309,0.08631,1200.044
Hybridflowshop,CPLEX,CP,148,40,20,2656,2791,0.05083,1600.072
Hybridflowshop,CPLEX,CP,149,80,5,2002,2002,0,66.154
Hybridflowshop,CPLEX,CP,150,80,10,1718,1795,0.04482,1600.08
Hybridflowshop,CPLEX,CP,151,80,15,2390,2562,0.07197,2400.109
Hybridflowshop,CPLEX,CP,152,80,20,2233,2526,0.13121,3200.153
Hybridflowshop,CPLEX,CP,153,120,5,2754,2754,0,9.627
Hybridflowshop,CPLEX,CP,154,120,10,3129,3142,0.00415,2400.129
Hybridflowshop,CPLEX,CP,155,120,15,3220,3545,0.10093,3600.171
Hybridflowshop,CPLEX,CP,156,120,20,2751,3148,0.14431,4800.137
Hybridflowshop,CPLEX,CP,157,160,5,4391,4391,0,3.041
Hybridflowshop,CPLEX,CP,158,160,10,4427,4429,0.00045,3200.083
Hybridflowshop,CPLEX,CP,159,160,15,4056,4366,0.07643,4800.123
Hybridflowshop,CPLEX,CP,160,160,20,3602,3993,0.10855,6400.189
Hybridflowshop,CPLEX,CP,161,200,5,4998,4998,0,2.402
Hybridflowshop,CPLEX,CP,162,200,10,5166,5171,0.00097,4000.105
Hybridflowshop,CPLEX,CP,163,200,15,5012,5017,0.001,6000.148
Hybridflowshop,CPLEX,CP,164,200,20,4114,4567,0.11011,8000.175
Hybridflowshop,CPLEX,CP,165,240,5,5930,5930,0,5.457
Hybridflowshop,CPLEX,CP,166,240,10,6033,6049,0.00265,4800.119
Hybridflowshop,CPLEX,CP,167,240,15,6141,6145,0.00065,7200.173
Hybridflowshop,CPLEX,CP,168,240,20,5862,6657,0.13562,9600.223
Hybridflowshop,CPLEX,CP,169,40,5,993,1007,0.0141,400.042
Hybridflowshop,CPLEX,CP,170,40,10,1037,1137,0.09643,800.036
Hybridflowshop,CPLEX,CP,171,40,15,1287,1423,0.10567,1200.047
Hybridflowshop,CPLEX,CP,172,40,20,1526,1722,0.12844,1600.052
Hybridflowshop,CPLEX,CP,173,80,5,2058,2058,0,31.956
Hybridflowshop,CPLEX,CP,174,80,10,1679,1788,0.06492,1600.06
Hybridflowshop,CPLEX,CP,175,80,15,2364,2592,0.09645,2400.094
Hybridflowshop,CPLEX,CP,176,80,20,2225,2466,0.10831,3200.13
Hybridflowshop,CPLEX,CP,177,120,5,3136,3136,0,62.155
Hybridflowshop,CPLEX,CP,178,120,10,3091,3094,0.00097,2400.13
Hybridflowshop,CPLEX,CP,179,120,15,3085,3333,0.08039,3600.171
Hybridflowshop,CPLEX,CP,180,120,20,3325,3885,0.16842,4800.1
Hybridflowshop,CPLEX,CP,181,160,5,4554,4554,0,12.916
Hybridflowshop,CPLEX,CP,182,160,10,4299,4299,0,74.442
Hybridflowshop,CPLEX,CP,183,160,15,3885,4345,0.1184,4800.136
Hybridflowshop,CPLEX,CP,184,160,20,4382,4766,0.08763,6400.124
Hybridflowshop,CPLEX,CP,185,200,5,5159,5159,0,96.201
Hybridflowshop,CPLEX,CP,186,200,10,5252,5255,0.00057,4000.106
Hybridflowshop,CPLEX,CP,187,200,15,5426,5444,0.00332,6000.154
Hybridflowshop,CPLEX,CP,188,200,20,4077,4576,0.12239,8000.189
Hybridflowshop,CPLEX,CP,189,240,5,6215,6217,0.00032,2400.07
Hybridflowshop,CPLEX,CP,190,240,10,5930,5936,0.00101,4800.102
Hybridflowshop,CPLEX,CP,191,240,15,6068,6068,0,6497.308
Hybridflowshop,CPLEX,CP,192,240,20,5896,6508,0.1038,9600.258
Hybridflowshop,CPLEX,CP,193,40,5,915,944,0.03169,400.049
Hybridflowshop,CPLEX,CP,194,40,10,1178,1316,0.11715,800.032
Hybridflowshop,CPLEX,CP,195,40,15,1579,1732,0.0969,1200.046
