Instance,n,s,rep,UB,LB
109,160,5,5,4071,4071
110,160,10,5,4177,4170
111,160,15,5,3467,3384
112,160,20,5,3770,3477
113,200,5,5,4996,4996
114,200,10,5,5471,5468
115,200,15,5,5178,5174
116,200,20,5,4439,4181
117,240,5,5,6319,6319
118,240,10,5,6184,6180
119,240,15,5,6414,6413
120,240,20,5,6162,5779
121,40,5,6,888,881
122,40,10,6,1288,1271
123,40,15,6,1241,1112
124,40,20,6,1977,1808
125,80,5,6,2103,2103
126,80,10,6,1825,1765
127,80,15,6,2029,1961
128,80,20,6,2371,2175
129,120,5,6,2874,2874
130,120,10,6,3131,3131
131,120,15,6,3257,3092
132,120,20,6,3028,2756
133,160,5,6,4011,4011
134,160,10,6,4323,4319
135,160,15,6,3398,3254
136,160,20,6,3721,3457
137,200,5,6,5049,5048
138,200,10,6,5169,5169
139,200,15,6,5592,5581
140,200,20,6,4481,4081
141,240,5,6,5845,5845
142,240,10,6,5894,5887
143,240,15,6,6091,6091
144,240,20,6,6195,5769
145,40,5,7,781,769
146,40,10,7,1137,1020
147,40,15,7,1293,1205
148,40,20,7,2754,2656
149,80,5,7,2002,2002
150,80,10,7,1775,1718
151,80,15,7,2471,2390
152,80,20,7,2417,2233
153,120,5,7,2754,2754
154,120,10,7,3131,3129
155,120,15,7,3308,3220
156,120,20,7,3030,2751
157,160,5,7,4391,4391
158,160,10,7,4429,4427
159,160,15,7,4190,4056
160,160,20,7,3778,3602
161,200,5,7,4998,4998
162,200,10,7,5171,5166
163,200,15,7,5012,5012
164,200,20,7,4304,4114
165,240,5,7,5930,5930
166,240,10,7,6038,6033
167,240,15,7,6145,6141
168,240,20,7,6296,5862
169,40,5,8,1007,993
170,40,10,8,1119,1037
171,40,15,8,1393,1287
172,40,20,8,1686,1526
173,80,5,8,2058,2058
174,80,10,8,1737,1679
175,80,15,8,2489,2364
176,80,20,8,2388,2225
177,120,5,8,3136,3136
178,120,10,8,3092,3091
179,120,15,8,3239,3085
180,120,20,8,3684,3325
181,160,5,8,4554,4554
182,160,10,8,4299,4299
183,160,15,8,4088,3885
184,160,20,8,4573,4382
185,200,5,8,5159,5159
186,200,10,8,5255,5252
187,200,15,8,5439,5426
188,200,20,8,4435,4077
189,240,5,8,6217,6215
190,240,10,8,5935,5930
191,240,15,8,6068,6068
192,240,20,8,6158,5896
193,40,5,9,938,915
194,40,10,9,1285,1178
195,40,15,9,1712,1579
196,40,20,9,1730,1503
197,80,5,9,2130,2130
198,80,10,9,1649,1579
199,80,15,9,2241,2175
200,80,20,9,2397,2174
201,120,5,9,3066,3066
202,120,10,9,3431,3427
203,120,15,9,3245,3088
204,120,20,9,3681,3545
205,160,5,9,4008,4008
206,160,10,9,4616,4615
207,160,15,9,4131,4021
208,160,20,9,4497,4251
209,200,5,9,5334,5334
210,200,10,9,4889,4887
211,200,15,9,5226,5218
212,200,20,9,5356,5050
213,240,5,9,5735,5735
214,240,10,9,6383,6379
215,240,15,9,6305,6305
216,240,20,9,6190,5839
217,40,5,10,1015,1001
218,40,10,10,1350,1267
219,40,15,10,1634,1521
220,40,20,10,1551,1326
221,80,5,10,1873,1873
222,80,10,10,2159,2111
223,80,15,10,2319,2218
224,80,20,10,2526,2312
225,120,5,10,2793,2793
226,120,10,10,2991,2885
227,120,15,10,3292,3041
228,120,20,10,3744,3403
229,160,5,10,4097,4097
230,160,10,10,4279,4274
231,160,15,10,4110,3867
232,160,20,10,4224,3910
233,200,5,10,5214,5214
234,200,10,10,4878,4878
235,200,15,10,4949,4757
236,200,20,10,5372,5154
237,240,5,10,6406,6404
238,240,10,10,12744,12744
239,240,15,10,6382,6382
240,240,20,10,6100,5694
