Problem,SolverVendor,Formulation,Instance,n,m,LB,UB,Gap,ActualTime
Hybridflowshop,CPLEX,CP,144,35,20,1,1415,0.14647,9600.214
Hybridflowshop,CPLEX,CP,145,10,5,1,443,0.013,400.042
Hybridflowshop,CPLEX,CP,146,10,10,1,947,0.13529,800.037
Hybridflowshop,CPLEX,CP,147,10,15,1,912,0.08631,1200.044
Hybridflowshop,CPLEX,CP,148,10,20,1,1420,0.05083,1600.072
Hybridflowshop,CPLEX,CP,149,15,5,1,484,0,66.154
Hybridflowshop,CPLEX,CP,150,15,10,1,1020,0.04482,1600.08
Hybridflowshop,CPLEX,CP,151,15,15,1,1570,0.07197,2400.109
Hybridflowshop,CPLEX,CP,152,15,20,1,1731,0.13121,3200.153
Hybridflowshop,CPLEX,CP,153,20,5,1,678,0,9.627
Hybridflowshop,CPLEX,CP,154,20,10,1,771,0.00415,2400.129
Hybridflowshop,CPLEX,CP,155,20,15,1,1274,0.10093,3600.171
Hybridflowshop,CPLEX,CP,156,20,20,1,1632,0.14431,4800.137
Hybridflowshop,CPLEX,CP,157,25,5,1,692,0,3.041
Hybridflowshop,CPLEX,CP,158,25,10,1,879,0.00045,3200.083
Hybridflowshop,CPLEX,CP,159,25,15,1,1059,0.07643,4800.123
Hybridflowshop,CPLEX,CP,160,25,20,1,1680,0.10855,6400.189
Hybridflowshop,CPLEX,CP,161,30,5,1,575,0,2.402
Hybridflowshop,CPLEX,CP,162,30,10,1,977,0.00097,4000.105
Hybridflowshop,CPLEX,CP,163,30,15,1,1455,0.001,6000.148
Hybridflowshop,CPLEX,CP,164,30,20,1,1531,0.11011,8000.175
Hybridflowshop,CPLEX,CP,165,35,5,1,669,0,5.457
Hybridflowshop,CPLEX,CP,166,35,10,1,1015,0.00265,4800.119
Hybridflowshop,CPLEX,CP,167,35,15,1,1532,0.00065,7200.173
Hybridflowshop,CPLEX,CP,168,35,20,1,1592,0.13562,9600.223
Hybridflowshop,CPLEX,CP,169,10,5,1,436,0.0141,400.042
Hybridflowshop,CPLEX,CP,170,10,10,1,545,0.09643,800.036
Hybridflowshop,CPLEX,CP,171,10,15,1,770,0.10567,1200.047
Hybridflowshop,CPLEX,CP,172,10,20,1,1522,0.12844,1600.052
Hybridflowshop,CPLEX,CP,173,15,5,1,525,0,31.956
Hybridflowshop,CPLEX,CP,174,15,10,1,1011,0.06492,1600.06
Hybridflowshop,CPLEX,CP,175,15,15,1,943,0.09645,2400.094
Hybridflowshop,CPLEX,CP,176,15,20,1,1712,0.10831,3200.13
Hybridflowshop,CPLEX,CP,177,20,5,1,517,0,62.155
Hybridflowshop,CPLEX,CP,178,20,10,1,950,0.00097,2400.13
Hybridflowshop,CPLEX,CP,179,20,15,1,1261,0.08039,3600.171
Hybridflowshop,CPLEX,CP,180,20,20,1,1847,0.16842,4800.1
Hybridflowshop,CPLEX,CP,181,25,5,1,694,0,12.916
Hybridflowshop,CPLEX,CP,182,25,10,1,836,0,74.442
Hybridflowshop,CPLEX,CP,183,25,15,1,1110,0.1184,4800.136
Hybridflowshop,CPLEX,CP,184,25,20,1,1310,0.08763,6400.124
Hybridflowshop,CPLEX,CP,185,30,5,1,805,0,96.201
Hybridflowshop,CPLEX,CP,186,30,10,1,1010,0.00057,4000.106
Hybridflowshop,CPLEX,CP,187,30,15,1,1438,0.00332,6000.154
Hybridflowshop,CPLEX,CP,188,30,20,1,1823,0.12239,8000.189
Hybridflowshop,CPLEX,CP,189,35,5,1,716,0.00032,2400.07
Hybridflowshop,CPLEX,CP,190,35,10,1,991,0.00101,4800.102
Hybridflowshop,CPLEX,CP,191,35,15,1,1494,0,6497.308
Hybridflowshop,CPLEX,CP,192,35,20,1,1938,0.1038,9600.258
Hybridflowshop,CPLEX,CP,193,10,5,1,409,0.03169,400.049
Hybridflowshop,CPLEX,CP,194,10,10,1,516,0.11715,800.032
Hybridflowshop,CPLEX,CP,195,10,15,1,764,0.0969,1200.046
Hybridflowshop,CPLEX,CP,196,10,20,1,902,0.18696,1600.082
Hybridflowshop,CPLEX,CP,197,15,5,1,557,0,23.823
Hybridflowshop,CPLEX,CP,198,15,10,1,659,0.06016,1600.06
Hybridflowshop,CPLEX,CP,199,15,15,1,909,0.07632,2400.098
Hybridflowshop,CPLEX,CP,200,15,20,1,1003,0.12925,3200.102
Hybridflowshop,CPLEX,CP,201,20,5,1,681,0,7.607
Hybridflowshop,CPLEX,CP,202,20,10,1,953,0.00117,2400.12
Hybridflowshop,CPLEX,CP,203,20,15,1,1748,0.09262,3600.195
Hybridflowshop,CPLEX,CP,204,20,20,1,1302,0.08039,4800.103
Hybridflowshop,CPLEX,CP,205,25,5,1,668,0,0.854
Hybridflowshop,CPLEX,CP,206,25,10,1,1061,0.00022,3200.081
Hybridflowshop,CPLEX,CP,207,25,15,1,1148,0.10072,4800.107
Hybridflowshop,CPLEX,CP,208,25,20,1,1338,0.12985,6400.142
Hybridflowshop,CPLEX,CP,209,30,5,1,821,0,9.388
Hybridflowshop,CPLEX,CP,210,30,10,1,909,0.00082,4000.087
Hybridflowshop,CPLEX,CP,211,30,15,1,2019,0.01035,6000.154
Hybridflowshop,CPLEX,CP,212,30,20,1,2362,0.12158,8000.18
Hybridflowshop,CPLEX,CP,213,35,5,1,845,0,5.464
Hybridflowshop,CPLEX,CP,214,35,10,1,1143,0.00063,4800.13
Hybridflowshop,CPLEX,CP,215,35,15,1,2236,0,6535.112
Hybridflowshop,CPLEX,CP,216,35,20,1,1981,0.10635,9600.23
Hybridflowshop,CPLEX,CP,217,10,5,1,373,0.01399,400.036
Hybridflowshop,CPLEX,CP,218,10,10,1,684,0.08366,800.029
Hybridflowshop,CPLEX,CP,219,10,15,1,866,0.0664,1200.043
Hybridflowshop,CPLEX,CP,220,10,20,1,1099,0.19155,1600.066
Hybridflowshop,CPLEX,CP,221,15,5,1,443,0,69.368
Hybridflowshop,CPLEX,CP,222,15,10,1,736,0.03648,1600.064
Hybridflowshop,CPLEX,CP,223,15,15,1,876,0.06673,2400.119
Hybridflowshop,CPLEX,CP,224,15,20,1,1098,0.14187,3200.157
Hybridflowshop,CPLEX,CP,225,20,5,1,525,0,7.642
Hybridflowshop,CPLEX,CP,226,20,10,1,866,0.07591,2400.103
Hybridflowshop,CPLEX,CP,227,20,15,1,967,0.14732,3600.151
Hybridflowshop,CPLEX,CP,228,20,20,1,1202,0.12871,4800.148
Hybridflowshop,CPLEX,CP,229,25,5,1,646,0,3.724
Hybridflowshop,CPLEX,CP,230,25,10,1,919,0.00117,3200.087
Hybridflowshop,CPLEX,CP,231,25,15,1,1165,0.10706,4800.145
Hybridflowshop,CPLEX,CP,232,25,20,1,1228,0.1202,6400.162
Hybridflowshop,CPLEX,CP,233,30,5,1,762,0,20.376
Hybridflowshop,CPLEX,CP,234,30,10,1,1098,0,118.691
Hybridflowshop,CPLEX,CP,235,30,15,1,1258,0.08451,6000.146
Hybridflowshop,CPLEX,CP,236,30,20,1,2391,0.08847,8000.214
Hybridflowshop,CPLEX,CP,237,35,5,1,948,0.00031,2400.056
Hybridflowshop,CPLEX,CP,238,35,10,1,2115,0,3.788
Hybridflowshop,CPLEX,CP,239,35,15,1,1312,0.00235,7200.241
Hybridflowshop,CPLEX,CP,240,35,20,1,1834,0.12979,9600.283
