insName,jobCount,stageCount,best_prefix_obj,first_best_source,last_best_source,strict_last_improvement_source,init_dispatch,tau,post_dispatch1,post_dispatch2
121,40,5,890.0,post_dispatch1,post_dispatch2,post_dispatch1,939.0,898.0,890.0,890.0
112,160,20,3891.0,post_dispatch2,post_dispatch2,post_dispatch2,3913.0,3913.0,3913.0,3891.0
122,40,10,1330.0,tau,post_dispatch2,tau,1372.0,1330.0,1330.0,1330.0
125,80,5,2103.0,post_dispatch1,post_dispatch2,post_dispatch1,2115.0,2107.0,2103.0,2103.0
119,240,15,6416.0,post_dispatch1,post_dispatch2,post_dispatch1,6417.0,6417.0,6416.0,6416.0
115,200,15,5185.0,tau,post_dispatch2,tau,5213.0,5185.0,5185.0,5185.0
118,240,10,6189.0,post_dispatch2,post_dispatch2,post_dispatch2,6191.0,6191.0,6191.0,6189.0
129,120,5,2874.0,init_dispatch,post_dispatch2,init_dispatch,2874.0,2874.0,2874.0,2874.0
124,40,20,2029.0,post_dispatch1,post_dispatch2,post_dispatch1,2132.0,2033.0,2029.0,2029.0
126,80,10,1863.0,post_dispatch1,post_dispatch2,post_dispatch1,1940.0,1867.0,1863.0,1863.0
130,120,10,3138.0,post_dispatch1,post_dispatch2,post_dispatch1,3141.0,3139.0,3138.0,3138.0
133,160,5,4012.0,post_dispatch1,post_dispatch2,post_dispatch1,4017.0,4015.0,4012.0,4012.0
127,80,15,2084.0,post_dispatch2,post_dispatch2,post_dispatch2,2134.0,2128.0,2111.0,2084.0
137,200,5,5049.0,post_dispatch1,post_dispatch2,post_dispatch1,5055.0,5052.0,5049.0,5049.0
138,200,10,5169.0,post_dispatch1,post_dispatch2,post_dispatch1,5184.0,5176.0,5169.0,5169.0
116,200,20,4545.0,post_dispatch1,post_dispatch2,post_dispatch1,4581.0,4581.0,4545.0,4545.0
128,80,20,2468.0,post_dispatch1,post_dispatch2,post_dispatch1,2503.0,2469.0,2468.0,2468.0
141,240,5,5845.0,post_dispatch1,post_dispatch2,post_dispatch1,5851.0,5846.0,5845.0,5845.0
134,160,10,4328.0,tau,post_dispatch2,tau,4330.0,4328.0,4328.0,4328.0
