ins,n,c,D_obj,B0504_obj,selected_lane,delta_vs_0504
34,120,10,2955.0,2971.0,cp_seeded_first_neh,-16.0
35,120,15,3307.0,3344.0,delayed_profile_first_neh,-37.0
36,120,20,3590.0,3573.0,delayed_profile_first_neh,17.0
37,160,5,3941.0,3941.0,no_suffix_guard_or_skip,0.0
38,160,10,3901.0,3901.0,no_suffix_guard_or_skip,0.0
39,160,15,4138.0,4157.0,retained_cp_sequence_first_neh,-19.0
40,160,20,3764.0,3716.0,retained_cp_sequence_first_neh,48.0
41,200,5,5010.0,5010.0,no_suffix_guard_or_skip,0.0
42,200,10,4944.0,4943.0,no_suffix_guard_or_skip,1.0
43,200,15,5253.0,5254.0,no_suffix_guard_or_skip,-1.0
44,200,20,5365.0,5402.0,safe_0504_first_neh,-37.0
45,240,5,5964.0,5964.0,no_suffix_guard_or_skip,0.0
46,240,10,6096.0,6098.0,no_suffix_guard_or_skip,-2.0
47,240,15,6425.0,6425.0,no_suffix_guard_or_skip,0.0
48,240,20,5182.0,5184.0,safe_0504_first_neh,-2.0
49,40,5,875.0,878.0,cp_seeded_first_neh,-3.0
50,40,10,1184.0,1179.0,cp_seeded_first_neh,5.0
51,40,15,1611.0,1603.0,retained_cp_sequence_first_neh,8.0
52,40,20,1581.0,1591.0,cp_seeded_first_neh,-10.0
53,80,5,2071.0,2071.0,no_suffix_guard_or_skip,0.0
54,80,10,1816.0,1810.0,safe_0504_first_neh,6.0
55,80,15,2470.0,2482.0,retained_cp_sequence_first_neh,-12.0
56,80,20,2754.0,2721.0,cp_seeded_first_neh,33.0
57,120,5,2932.0,2932.0,no_suffix_guard_or_skip,0.0
58,120,10,3135.0,3137.0,no_suffix_guard_or_skip,-2.0
59,120,15,2701.0,2718.0,delayed_profile_first_neh,-17.0
60,120,20,3553.0,3580.0,cp_seeded_first_neh,-27.0
61,160,5,4365.0,4365.0,no_suffix_guard_or_skip,0.0
62,160,10,4583.0,4583.0,no_suffix_guard_or_skip,0.0
63,160,15,4077.0,4113.0,interleaved_pw_neh_basin,-36.0
64,160,20,3898.0,3916.0,interleaved_pw_neh_basin,-18.0
65,200,5,4868.0,4868.0,no_suffix_guard_or_skip,0.0
66,200,10,5095.0,5095.0,no_suffix_guard_or_skip,0.0
67,200,15,5239.0,5239.0,no_suffix_guard_or_skip,0.0
68,200,20,5403.0,5392.0,cp_seeded_first_neh,11.0
69,240,5,6078.0,6078.0,no_suffix_guard_or_skip,0.0
70,240,10,6482.0,6482.0,no_suffix_guard_or_skip,0.0
71,240,15,6029.0,6029.0,no_suffix_guard_or_skip,0.0
72,240,20,5075.0,5135.0,safe_0504_first_neh,-60.0
73,40,5,851.0,850.0,cp_seeded_first_neh,1.0
74,40,10,1280.0,1288.0,cp_seeded_first_neh,-8.0
75,40,15,1378.0,1372.0,delayed_profile_first_neh,6.0
76,40,20,1587.0,1579.0,cp_seeded_first_neh,8.0
77,80,5,1898.0,1898.0,no_suffix_guard_or_skip,0.0
78,80,10,1653.0,1669.0,interleaved_pw_neh_basin,-16.0
79,80,15,2560.0,2589.0,delayed_profile_first_neh,-29.0
80,80,20,2853.0,2857.0,interleaved_pw_neh_basin,-4.0
81,120,5,3195.0,3195.0,no_suffix_guard_or_skip,0.0
82,120,10,3196.0,3196.0,no_suffix_guard_or_skip,0.0
83,120,15,2767.0,2761.0,interleaved_pw_neh_basin,6.0
84,120,20,3607.0,3600.0,safe_0504_first_neh,7.0
85,160,5,3938.0,3938.0,no_suffix_guard_or_skip,0.0
86,160,10,4155.0,4155.0,no_suffix_guard_or_skip,0.0
87,160,15,4206.0,4285.0,interleaved_pw_neh_basin,-79.0
88,160,20,3678.0,3704.0,retained_cp_sequence_first_neh,-26.0
89,200,5,5146.0,5146.0,no_suffix_guard_or_skip,0.0
90,200,10,5229.0,5229.0,no_suffix_guard_or_skip,0.0
91,200,15,5241.0,5236.0,no_suffix_guard_or_skip,5.0
92,200,20,4426.0,4413.0,interleaved_pw_neh_basin,13.0
93,240,5,6127.0,6127.0,no_suffix_guard_or_skip,0.0
94,240,10,6140.0,6140.0,no_suffix_guard_or_skip,0.0
95,240,15,6635.0,6635.0,no_suffix_guard_or_skip,0.0
96,240,20,6165.0,6126.0,delayed_profile_first_neh,39.0
97,40,5,765.0,765.0,safe_0504_first_neh,0.0
98,40,10,1315.0,1309.0,delayed_profile_first_neh,6.0
99,40,15,1318.0,1320.0,retained_cp_sequence_first_neh,-2.0
100,40,20,1608.0,1617.0,cp_seeded_first_neh,-9.0
101,80,5,2164.0,2164.0,no_suffix_guard_or_skip,0.0
102,80,10,1666.0,1672.0,retained_cp_sequence_first_neh,-6.0
103,80,15,2115.0,2118.0,retained_cp_sequence_first_neh,-3.0
104,80,20,2337.0,2343.0,retained_cp_sequence_first_neh,-6.0
105,120,5,2889.0,2889.0,no_suffix_guard_or_skip,0.0
106,120,10,3236.0,3236.0,no_suffix_guard_or_skip,0.0
107,120,15,3301.0,3320.0,delayed_profile_first_neh,-19.0
108,120,20,3612.0,3620.0,retained_cp_sequence_first_neh,-8.0
109,160,5,4071.0,4071.0,no_suffix_guard_or_skip,0.0
110,160,10,4177.0,4177.0,no_suffix_guard_or_skip,0.0
111,160,15,3540.0,3532.0,cp_seeded_first_neh,8.0
112,160,20,3759.0,3770.0,cp_seeded_first_neh,-11.0
113,200,5,4997.0,4997.0,no_suffix_guard_or_skip,0.0
114,200,10,5470.0,5470.0,no_suffix_guard_or_skip,0.0
115,200,15,5182.0,5189.0,no_suffix_guard_or_skip,-7.0
116,200,20,4446.0,4435.0,retained_cp_sequence_first_neh,11.0
117,240,5,6319.0,6319.0,no_suffix_guard_or_skip,0.0
118,240,10,6184.0,6184.0,no_suffix_guard_or_skip,0.0
119,240,15,6414.0,6414.0,no_suffix_guard_or_skip,0.0
120,240,20,6147.0,6249.0,safe_0504_first_neh,-102.0
121,40,5,887.0,889.0,cp_seeded_first_neh,-2.0
122,40,10,1292.0,1285.0,retained_cp_sequence_first_neh,7.0
123,40,15,1218.0,1218.0,interleaved_pw_neh_basin,0.0
124,40,20,1965.0,1966.0,retained_cp_sequence_first_neh,-1.0
125,80,5,2103.0,2103.0,no_suffix_guard_or_skip,0.0
126,80,10,1851.0,1831.0,cp_seeded_first_neh,20.0
127,80,15,2012.0,2029.0,delayed_profile_first_neh,-17.0
128,80,20,2379.0,2373.0,retained_cp_sequence_first_neh,6.0
129,120,5,2874.0,2874.0,no_suffix_guard_or_skip,0.0
130,120,10,3131.0,3131.0,no_suffix_guard_or_skip,0.0
131,120,15,3263.0,3302.0,retained_cp_sequence_first_neh,-39.0
132,120,20,3051.0,3034.0,interleaved_pw_neh_basin,17.0
133,160,5,4011.0,4011.0,no_suffix_guard_or_skip,0.0
134,160,10,4323.0,4323.0,no_suffix_guard_or_skip,0.0
135,160,15,3442.0,3468.0,safe_0504_first_neh,-26.0
136,160,20,3737.0,3725.0,safe_0504_first_neh,12.0
137,200,5,5049.0,5049.0,no_suffix_guard_or_skip,0.0
138,200,10,5169.0,5169.0,no_suffix_guard_or_skip,0.0
139,200,15,5586.0,5587.0,interleaved_pw_neh_basin,-1.0
140,200,20,4467.0,4434.0,safe_0504_first_neh,33.0
141,240,5,5845.0,5845.0,no_suffix_guard_or_skip,0.0
142,240,10,5895.0,5904.0,delayed_profile_first_neh,-9.0
143,240,15,6091.0,6091.0,no_suffix_guard_or_skip,0.0
144,240,20,6201.0,6229.0,cp_seeded_first_neh,-28.0
145,40,5,780.0,787.0,retained_cp_sequence_first_neh,-7.0
146,40,10,1138.0,1142.0,retained_cp_sequence_first_neh,-4.0
147,40,15,1289.0,1286.0,delayed_profile_first_neh,3.0
148,40,20,2755.0,2746.0,cp_seeded_first_neh,9.0
149,80,5,2003.0,2003.0,no_suffix_guard_or_skip,0.0
150,80,10,1773.0,1776.0,cp_seeded_first_neh,-3.0
151,80,15,2501.0,2500.0,safe_0504_first_neh,1.0
152,80,20,2401.0,2405.0,delayed_profile_first_neh,-4.0
153,120,5,2754.0,2754.0,no_suffix_guard_or_skip,0.0
154,120,10,3131.0,3131.0,no_suffix_guard_or_skip,0.0
155,120,15,3294.0,3319.0,delayed_profile_first_neh,-25.0
156,120,20,2997.0,3004.0,retained_cp_sequence_first_neh,-7.0
157,160,5,4391.0,4391.0,no_suffix_guard_or_skip,0.0
158,160,10,4429.0,4429.0,no_suffix_guard_or_skip,0.0
159,160,15,4240.0,4247.0,delayed_profile_first_neh,-7.0
160,160,20,3759.0,3744.0,cp_seeded_first_neh,15.0
161,200,5,4998.0,4999.0,no_suffix_guard_or_skip,-1.0
162,200,10,5172.0,5171.0,no_suffix_guard_or_skip,1.0
163,200,15,5012.0,5012.0,no_suffix_guard_or_skip,0.0
164,200,20,4293.0,4349.0,retained_cp_sequence_first_neh,-56.0
165,240,5,5930.0,5930.0,no_suffix_guard_or_skip,0.0
166,240,10,6038.0,6038.0,no_suffix_guard_or_skip,0.0
167,240,15,6150.0,6150.0,no_suffix_guard_or_skip,0.0
168,240,20,6234.0,6304.0,safe_0504_first_neh,-70.0
169,40,5,1006.0,1011.0,delayed_profile_first_neh,-5.0
170,40,10,1116.0,1112.0,delayed_profile_first_neh,4.0
171,40,15,1376.0,1389.0,retained_cp_sequence_first_neh,-13.0
172,40,20,1661.0,1688.0,retained_cp_sequence_first_neh,-27.0
173,80,5,2058.0,2058.0,no_suffix_guard_or_skip,0.0
174,80,10,1766.0,1748.0,delayed_profile_first_neh,18.0
175,80,15,2500.0,2506.0,safe_0504_first_neh,-6.0
176,80,20,2405.0,2403.0,retained_cp_sequence_first_neh,2.0
177,120,5,3136.0,3136.0,no_suffix_guard_or_skip,0.0
178,120,10,3092.0,3092.0,no_suffix_guard_or_skip,0.0
179,120,15,3248.0,3243.0,retained_cp_sequence_first_neh,5.0
180,120,20,3678.0,3720.0,delayed_profile_first_neh,-42.0
181,160,5,4554.0,4554.0,no_suffix_guard_or_skip,0.0
182,160,10,4299.0,4299.0,no_suffix_guard_or_skip,0.0
183,160,15,4102.0,4112.0,safe_0504_first_neh,-10.0
184,160,20,4599.0,4579.0,safe_0504_first_neh,20.0
185,200,5,5159.0,5160.0,no_suffix_guard_or_skip,-1.0
186,200,10,5255.0,5255.0,no_suffix_guard_or_skip,0.0
187,200,15,5432.0,5441.0,delayed_profile_first_neh,-9.0
188,200,20,4407.0,4430.0,delayed_profile_first_neh,-23.0
189,240,5,6217.0,6217.0,no_suffix_guard_or_skip,0.0
190,240,10,5935.0,5935.0,no_suffix_guard_or_skip,0.0
191,240,15,6068.0,6068.0,no_suffix_guard_or_skip,0.0
192,240,20,6223.0,6222.0,cp_seeded_first_neh,1.0
193,40,5,939.0,933.0,safe_0504_first_neh,6.0
194,40,10,1272.0,1283.0,cp_seeded_first_neh,-11.0
195,40,15,1704.0,1693.0,cp_seeded_first_neh,11.0
196,40,20,1709.0,1730.0,safe_0504_first_neh,-21.0
197,80,5,2130.0,2130.0,no_suffix_guard_or_skip,0.0
198,80,10,1651.0,1663.0,safe_0504_first_neh,-12.0
199,80,15,2260.0,2258.0,safe_0504_first_neh,2.0
200,80,20,2377.0,2367.0,delayed_profile_first_neh,10.0
201,120,5,3066.0,3066.0,no_suffix_guard_or_skip,0.0
202,120,10,3432.0,3431.0,cp_seeded_first_neh,1.0
203,120,15,3275.0,3305.0,interleaved_pw_neh_basin,-30.0
204,120,20,3687.0,3710.0,delayed_profile_first_neh,-23.0
205,160,5,4008.0,4008.0,no_suffix_guard_or_skip,0.0
206,160,10,4616.0,4616.0,no_suffix_guard_or_skip,0.0
207,160,15,4174.0,4209.0,safe_0504_first_neh,-35.0
208,160,20,4511.0,4519.0,interleaved_pw_neh_basin,-8.0
209,200,5,5334.0,5334.0,no_suffix_guard_or_skip,0.0
210,200,10,4889.0,4892.0,interleaved_pw_neh_basin,-3.0
211,200,15,5225.0,5228.0,no_suffix_guard_or_skip,-3.0
212,200,20,5365.0,5350.0,safe_0504_first_neh,15.0
213,240,5,5735.0,5735.0,no_suffix_guard_or_skip,0.0
214,240,10,6383.0,6383.0,no_suffix_guard_or_skip,0.0
215,240,15,6305.0,6305.0,no_suffix_guard_or_skip,0.0
216,240,20,6228.0,6174.0,cp_seeded_first_neh,54.0
217,40,5,1015.0,1015.0,safe_0504_first_neh,0.0
218,40,10,1365.0,1367.0,safe_0504_first_neh,-2.0
219,40,15,1615.0,1628.0,delayed_profile_first_neh,-13.0
220,40,20,1557.0,1536.0,interleaved_pw_neh_basin,21.0
221,80,5,1873.0,1873.0,no_suffix_guard_or_skip,0.0
222,80,10,2156.0,2139.0,retained_cp_sequence_first_neh,17.0
223,80,15,2284.0,2306.0,cp_seeded_first_neh,-22.0
224,80,20,2570.0,2515.0,delayed_profile_first_neh,55.0
225,120,5,2793.0,2793.0,no_suffix_guard_or_skip,0.0
226,120,10,3054.0,2994.0,cp_seeded_first_neh,60.0
227,120,15,3275.0,3334.0,delayed_profile_first_neh,-59.0
228,120,20,3708.0,3759.0,delayed_profile_first_neh,-51.0
229,160,5,4097.0,4097.0,no_suffix_guard_or_skip,0.0
230,160,10,4279.0,4279.0,no_suffix_guard_or_skip,0.0
231,160,15,4157.0,4177.0,delayed_profile_first_neh,-20.0
232,160,20,4263.0,4281.0,delayed_profile_first_neh,-18.0
233,200,5,5214.0,5214.0,no_suffix_guard_or_skip,0.0
234,200,10,4879.0,4881.0,no_suffix_guard_or_skip,-2.0
235,200,15,5022.0,5015.0,safe_0504_first_neh,7.0
236,200,20,5379.0,5388.0,safe_0504_first_neh,-9.0
237,240,5,6406.0,6406.0,no_suffix_guard_or_skip,0.0
238,240,10,12744.0,12744.0,no_suffix_guard_or_skip,0.0
239,240,15,6382.0,6382.0,no_suffix_guard_or_skip,0.0
240,240,20,6071.0,6143.0,safe_0504_first_neh,-72.0
